Gh id,Wmo id,Name,Full name,Latitude,Longitude,Elevation,Station ty,Rg region,Di distric,Ba basin,Xcoo,Ycoo
O7OSOB01,,Osoblaha,Osoblaha,"501633","174246",236.000000000000000,MSS,Moravskoslezskı,Bruntál,Odra,17.71277778,50.27583333
O7OVCA01,,Ovèárna,"Ovèárna, horská sluba","500418","171413",1320.000000000000000,MSS,Moravskoslezskı,Bruntál,Opava,17.23694444,50.07166667
O7OZAB01,,Ostrava,"Ostrava, Zábøeh","494750","181610",235.000000000000000,AKS,Moravskoslezskı,Ostrava-mìsto,,18.26944444,49.79722222
O7PAPR01,,Paprsek,Paprsek,"501234","165920",1006.000000000000000,MSS,Olomouckı,Šumperk,Morava,16.98888889,50.20944444
O7PASE01,,Paseka,Paseka,"494748","171351",290.000000000000000,MSS,Olomouckı,Olomouc,Oskava,17.23083333,49.79666667
O7PORU01,,Ostrava,"Ostrava, Poruba","494931","180934",242.000000000000000,MKSR,Moravskoslezskı,Ostrava-mìsto,Odra,18.15944444,49.82527778
O7PRER01,,Pøerov,Pøerov,"492752","172732",210.000000000000000,MSS,Olomouckı,Pøerov,Beèva,17.45888889,49.46444444
O7ROPI01,,Ropice,Ropice,"494151","183645",327.000000000000000,MSS,Moravskoslezskı,Frıdek-Místek,Olše,18.61250000,49.69750000
O7SANC01,,Šance,Šance,"493045","182508",509.000000000000000,PROFIL,Moravskoslezskı,Frıdek-Místek,Ostravice,18.41888889,49.51250000
O7SANC02,,Šance,Šance,"493045","182508",509.000000000000000,PROFIL,Moravskoslezskı,Frıdek-Místek,Ostravice,18.41888889,49.51250000
O7STER01,,Šternberk,Šternberk,"494330","171750",276.000000000000000,MSS,Olomouckı,Olomouc,Oskava,17.29722222,49.72500000
O7VABY01,,Valašská Bystøice,Valašská Bystøice,"492500","180629",465.000000000000000,MSS,Zlínskı,Vsetín,Vsetínská Beèva,18.10805556,49.41666667
O7VASE01,,Valašská Senice,Valašská Senice,"491423","180736",611.000000000000000,MKS,Zlínskı,Vsetín,Vsetínská Beèva,18.12666667,49.23972222
O7VITK01,,Vítkov,Vítkov,"494638","174526",484.000000000000000,MKS,Moravskoslezskı,Opava,Odra,17.75722222,49.77722222
O7ZARY01,,Mìsto Albrechtice,"Mìsto Albrechtice, áry","500910","173315",521.000000000000000,MSS,Moravskoslezskı,Bruntál,Opavice,17.55416667,50.15277778
P1BERO01,,Beroun,Beroun,"495816","140351",265.000000000000000,MSS,Støedoèeskı,Beroun,Berounka,14.06416667,49.97111111
O2SUMP01,"11705",Šumperk,Šumperk,"495827","165803",328.000000000000000,AKS1,Olomouckı,Šumperk,Desná,16.96750000,49.97416667
P1HVOZ01,,Hvozdec,"Hvozdec, Mrtník","494754","135219",425.000000000000000,MSS,Støedoèeskı,Beroun,Berounka,13.87194444,49.79833333
P1CHRU01,,Chrustenice,Lodìnice,"495947","140924",255.000000000000000,MSS,Støedoèeskı,Beroun,Berounka,14.15666667,49.99638889
P1JILS01,,Jílovištì,Jílovištì,"495524","141955",354.000000000000000,MSS,Støedoèeskı,Praha-západ,Vltava,14.33194444,49.92333333
P1KAMY01,,Kamık nad Vltavou,Kamık nad Vltavou,"493756","141447",280.000000000000000,ASS,Støedoèeskı,Pøíbram,Vltava,14.24638889,49.63222222
P1KOLE01,,Koleè,Koleè,"501156","141416",240.000000000000000,MSS,Støedoèeskı,Kladno,Vltava,14.23777778,50.19888889
O2DUBI01,"11709",Dubicko,Dubicko,"494937","165758",282.000000000000000,AKS3,Olomouckı,Šumperk,Morava,16.96611111,49.82694444
P1KRIV01,,Køivoklát,Køivoklát,"500217","135251",323.000000000000000,MSS,Støedoèeskı,Rakovník,Berounka,13.88083333,50.03805556
O2LUKA01,"11710",Luká,Luká,"493908","165712",510.000000000000000,AMS1,Olomouckı,Olomouc,Tøebùvka,16.95333333,49.65222222
P1LITE01,,Liteò,Liteò,"495412","140902",320.000000000000000,MSS,Støedoèeskı,Beroun,Berounka,14.15055556,49.90333333
P1MNIS01,,Mníšek pod Brdy,Mníšek pod Brdy,"495210","141545",367.000000000000000,MSS,Støedoèeskı,Praha-západ,Vltava,14.26250000,49.86944444
P1NBEL01,,Neèín,"Neèín, Bìlohrad","494224","141206",465.000000000000000,MSS,Støedoèeskı,Pøíbram,Vltava,14.20166667,49.70666667
O2TREB01,"11711",Tøebaøov,Tøebaøov,"494858","164156",375.000000000000000,AKS2,Pardubickı,Svitavy,Moravská Sázava,16.69888889,49.81611111
P1NSTR01,,Nové Strašecí,Nové Strašecí,"500844","135339",482.000000000000000,MSS,Støedoèeskı,Rakovník,Berounka,13.89416667,50.14555556
P1PBRE01,,Praha,"Praha, Bøevnov","500451","142126",355.000000000000000,ASS,Praha,Praha 6,Vltava,14.35722222,50.08083333
P1PCHO01,,Praha,"Praha, Chodov","500146","143000",297.000000000000000,MSS,Praha,Praha 4,Vltava,14.50000000,50.02944444
O2JEVI01,"11713",Jevíèko,Jevíèko,"493747","164337",342.000000000000000,AKS1,Pardubickı,Svitavy,Tøebùvka,16.72694444,49.62972222
P1PKAR02,,Praha,"Praha, Karlov","500403","142507",232.000000000000000,MKS,Praha,Praha 2,Vltava,14.41861111,50.06750000
B1PROT01,"11716",Protivanov,Protivanov,"492840","164952",675.000000000000000,AKS1,Olomouckı,Prostìjov,Svitava,16.83111111,49.47777778
P1PKBE02,,Praha,"Praha, Kbely","500718","143233",282.000000000000000,MSS,Praha,Praha 9,Labe,14.54250000,50.12166667
B2BZAB01,"11721",Brno,"Brno, abovøesky","491259","163404",236.000000000000000,AKS1,Jihomoravskı,Brno-mìsto,Svratka,16.56777778,49.21638889
B2BTUR01,"11723",Brno,"Brno, Tuøany","490911","164120",241.000000000000000,AMS,Jihomoravskı,Brno-mìsto,Litava,16.68888889,49.15305556
P1PKLM02,,Praha,"Praha, Klementinum","500527","142509",191.000000000000000,AKS2,Praha,Praha 1,Vltava,14.41916667,50.09083333
P1PKOM01,,Praha,"Praha, Komoøany","495918","142426",210.000000000000000,MSS,Praha,Praha 4,Vltava,14.40722222,49.98833333
B2POHO01,"11724",Pohoøelice,Pohoøelice,"485904","163142",180.000000000000000,AKS1,Jihomoravskı,Bøeclav,Jihlava,16.52833333,48.98444444
P1PLIB02,,Praha,"Praha, Libuš","500030","142653",303.000000000000000,MKS,Praha,Praha 4,Vltava,14.44805556,50.00833333
P1PODL01,,Podlesí,Podlesí,"494123","135850",510.000000000000000,MSS,Støedoèeskı,Pøíbram,Berounka,13.98055556,49.68972222
B2KOBY01,"11725",Kobylí,Kobylí,"485622","165253",175.000000000000000,AKS1,Jihomoravskı,Bøeclav,Trkmanka,16.88138889,48.93944444
P1PRUH01,,Prùhonice,Prùhonice,"500027","143334",312.000000000000000,AKS1,Støedoèeskı,Praha-západ,Vltava,14.55944444,50.00750000
B2LEDN01,"11727",Lednice,Lednice,"484733","164756",177.000000000000000,AKS2,Jihomoravskı,Bøeclav,Dyje,16.79888889,48.79250000
P1PRUZ02,,Praha,"Praha, Ruzynì","500603","141528",364.000000000000000,MKS,Praha,Praha 6,Vltava,14.25777778,50.10083333
P1PSUC01,,Praha,"Praha, Suchdol","500837","142326",268.000000000000000,MSS,Praha,Praha 6,Vltava,14.39055556,50.14361111
P1PZKO01,,Praha,"Praha, Zadní Kopanina","500026","141904",330.000000000000000,MSS,Praha,Praha 5,Berounka,14.31777778,50.00722222
P1REZP01,,Husinec,"Husinec, Øe","501045","142215",250.000000000000000,AKS,Støedoèeskı,Praha-vıchod,Vltava,14.37083333,50.17916667
P1RPET01,,Rpety,Rpety,"494938","135613",360.000000000000000,MSS,Støedoèeskı,Beroun,Berounka,13.93694444,49.82722222
P1SLAN01,,Slanı,Slanı,"501413","140525",307.000000000000000,ASS,Støedoèeskı,Kladno,Vltava,14.09027778,50.23694444
P1UVAL01,,Úvaly,Úvaly,"500438","144240",260.000000000000000,MSS,Støedoèeskı,Praha-vıchod,Labe,14.71111111,50.07722222
P1VOZN01,,Voznice,Voznice,"494909","141246",385.000000000000000,ASS,Støedoèeskı,Pøíbram,Vltava,14.21277778,49.81916667
P1ZBEC01,,Zbeèno,Zbeèno,"500341","135606",262.000000000000000,MSS,Støedoèeskı,Rakovník,Berounka,13.93500000,50.06138889
P1ZDIC01,,Zdice,Zdice,"495439","135817",305.000000000000000,MSS,Støedoèeskı,Beroun,Berounka,13.97138889,49.91083333
P1ZLON01,,Zlonice,Zlonice,"501705","140519",231.000000000000000,ASS,Støedoèeskı,Kladno,Vltava,14.08861111,50.28472222
P2BAKO01,,Bakov nad Jizerou,Bakov nad Jizerou,"502850","145622",220.000000000000000,MSS,Støedoèeskı,Mladá Boleslav,Jizera,14.93944444,50.48055556
P2BAKO10,,Bakov nad Jizerou,Bakov nad Jizerou,"502902","145548",215.000000000000000,HYDROAS,Støedoèeskı,Mladá Boleslav,Jizera,14.93000000,50.48388889
P2BAST01,,Baš,"Baš, Baštìk","501218","142744",230.000000000000000,MSS,Støedoèeskı,Praha-vıchod,Labe,14.46222222,50.20500000
P2BENE01,,Benecko,Benecko,"504018","153300",880.000000000000000,MSS,Libereckı,Semily,Jizera,15.55000000,50.67166667
P2BEZN01,,Sovinky,Sovinky,"502228","144722",280.000000000000000,MSS,Støedoèeskı,Mladá Boleslav,Labe,14.78944444,50.37444444
P2BNLO01,,Bedøichov,"Bedøichov, Nová louka","504852","150930",780.000000000000000,ASS,Libereckı,Jablonec nad Nisou,Jizera,15.15833333,50.81444444
